acronym,host_translation,english_translation,english_acronym,best_replacement
AC,Alianza Ciudadana,,,
ADPIC,Acuerdos sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio,,,
ALCAN,Alcanzar,Outreach/ Attained,,
APVP,años potenciales de vida perdidos,,,
ARV,Antiretroviral,,,
CAP,Centro de atención permanente,,,
CAS,Colectivo de Amigos contra el Sida,,,
CBA,Canasta básica alimentaria,,,
CBV,Canasta básica vital,,,
CENAP,Centro de atención a pacientes ambulatorios,,,
Cepal,comisión economica para america latina y caribe,,,
CFPM,comisión de Finanzas públicas y Moneda,,,
Cicig,comisión Internacional contra la Impunidad en Guatemala,,,
CNE,Centro Nacional de Epidemiológica,,,
CSPAS,Centro de salud,,,
C/S,Centro de salud,,,
CSPAS,Comisión de Salud Pública y Asistencia Social,,,
ECVC,Encuesta centroamericana de comportamiento sexual y prevalencia de VIH/ITS,,,
Ensmi,Encuesta nacional de salud materna e infantil,,,
FCE,Fondo de Cultura Económica,,,
FCN-Nación,Frente de Convergencia Nacional,,,
FIDA,Fondo Internacional de Desarrollo Agrícola,,,
Flacso,Facultad Latinoamericana de Ciencias Sociales,,,
FM,Fondo Mundial,Global Fund,GF,
GFI,Global Financial Integrity,,,
GpR,Gestión por resultados,,,
HRI,Hombres con conducta de Riesgo,Men with Risky Behavoir,,
HSH,Hombres que tienen sexo con hombres,Men who have sex with Men,MSM,
Icefi,Instituto Centroamericano de Estudios Fiscales,,,
IEC,"información, educación y comunicación","Information, Education and communication",,
IGSS,Instituto Guatemalteco de Seguridad Social,,,
INAP,Instituto Nacional de Administración Pública,,,
INDH,Informe Nacional de Desarrollo Humano,,,
INE,Instituto Nacional de Estadística,,,
Inguat,Instituto Guatemalteco de Turismo,,,
IPC,índice de Percepción de la Corrupción,,,
ISR,Impuesto sobre la renta,,,
ITPC-LATCA,International Treatment Preparedness Coalition Latin America and Caribbean,,,
ITS,Infecciones de transmisión sexual,Sexually Transmitted Infection,STI,
IVA,Impuesto al valor agregado,,,
JRS,Jóvenes en riesgo social,Youth at Social Risk,,
LB,Línea base,,,
LÃDER,Libertad Democrática Renovada,,,
MP,Ministerio Público,,,
MR,Movimiento Reformador,,,
MSPAS,Ministerio de Salud Pública y Asistencia Social,,,
MT,Mujeres trans,Transgender Women,,
MTS,Mujeres trabajadoras sexuales,Female Sex Workers,CSW,
Mupi,Mobiliario urbano para la presentación de información,,,
PAN,Partido de Avanzada Nacional,,,
PEP,profilaxis preexposición,,,
PEPFAR,President's Emergency Plan for AIDS Relief,,,
PNS,"Programa Nacional de Prevención y Control de Infecciones de Transmisión Sexual, Virus de Inmunodeficiencia Humana y Síndrome de Inmunodeficiencia Adquirida",,,
PNSR,Programa Nacional de Salud Reproductiva,,,
PPL,personas privadas de libertad,Prisoners,,
PpR,Presupuesto por resultados,,,
PReP,profilaxis preexposición,,,
Proam,Programa de Accesibilidad de Medicamentos,,,
PSF or P/S,Puesto de salud fortalecido,,,
PTMI,Prevención de la transmisión materno infantil,,PMTCT,
PU,Partido Unionista,,,
PV,Personas con VIH,Person living with HIV,PLHIV,
PVIH,Personas con VIH,Person living with HIV,PLHIV,
TAR,Tratamiento antirretroviral,,,
TDMH,Transmisión de madre a hijo,,,
TGF,Tasa global de fecundidad,,,
TRANS,transgenero,Transgender,,
TS,trabajadores sexuales,Sex Workers,CSW,
UAI,Unidad de atención integral,,,
UCN,Unión del Cambio Nacional,,,
UNFPA ,Fondo de Población de las Naciones Unidas,,,
VIH,Virus de la inmunodeficiencia humana,,,
VIVA,Visión con Valores,,,
